frame,t_s,beam_left_x,beam_left_y,beam_right_x,beam_right_y,theta_deg,theta_dot_deg_s
0,0.000000,85.0000,342.8762,1822.0000,339.2417,-0.119885,2.959379
47,1.566567,85.0000,342.4531,1822.0000,339.5084,-0.097130,-0.044773
95,3.166465,85.0000,342.3650,1822.0000,339.4664,-0.095612,0.123872
142,4.733032,85.0000,342.4988,1822.0000,339.3837,-0.102751,0.111030
190,6.332930,85.0000,342.6221,1822.0000,339.5184,-0.102375,0.036665
237,7.899497,85.0000,342.5340,1822.0000,339.4802,-0.100731,0.025461
285,9.499395,85.0000,382.0538,1822.0000,297.7761,-2.777762,-8.151502
332,11.065962,85.0000,330.5973,1822.0000,353.2490,0.747135,13.766839
380,12.665860,85.0000,331.8319,1822.0000,352.6479,0.686590,6.030943
428,14.265758,85.0000,354.5339,1822.0000,326.8437,-0.913296,13.161655
475,15.832325,85.0000,354.2969,1822.0000,327.5230,-0.883080,-6.859904
523,17.432223,85.0000,330.1727,1822.0000,354.1541,0.790988,-13.382732
570,18.998790,85.0000,354.0338,1822.0000,327.4603,-0.876471,0.029380
618,20.598688,85.0000,342.9477,1822.0000,339.2357,-0.122440,-12.756872
665,22.165255,85.0000,354.7367,1822.0000,324.7849,-0.987878,45.150140
713,23.765153,85.0000,331.6028,1822.0000,353.3924,0.718702,0.223309
761,25.365051,85.0000,338.5113,1822.0000,344.3721,0.193320,-18.483321
808,26.931618,85.0000,329.4813,1822.0000,355.6330,0.862562,0.007303
856,28.531516,85.0000,343.0493,1822.0000,340.4292,-0.086424,-0.013559
903,30.098083,85.0000,302.4584,1822.0000,376.1445,2.429116,-5.111949
951,31.697981,85.0000,305.6362,1822.0000,372.6524,2.209466,24.346668
998,33.264548,85.0000,345.5857,1822.0000,335.3518,-0.337564,-35.434660
1046,34.864446,85.0000,376.5758,1822.0000,303.1076,-2.421941,-29.759559
1094,36.464344,85.0000,421.5829,1822.0000,260.5392,-5.296962,-17.449830
1141,38.030911,85.0000,371.4170,1822.0000,308.4833,-2.074992,-27.390576
1189,39.630809,85.0000,364.2825,1822.0000,314.8498,-1.630124,16.108994
1236,41.197376,85.0000,342.8334,1822.0000,340.3871,-0.080695,7.338994
1284,42.797274,85.0000,304.1154,1822.0000,374.2367,2.311731,-4.987206
1331,44.363841,85.0000,350.8706,1822.0000,331.3219,-0.644796,9.197710
1379,45.963739,85.0000,339.9986,1822.0000,343.5519,0.117207,10.063167
1426,47.530306,85.0000,374.3248,1822.0000,305.8487,-2.257549,1.916319
1474,49.130204,85.0000,330.9865,1822.0000,353.2393,0.733982,-23.153974
1522,50.730102,85.0000,332.5977,1822.0000,351.9840,0.639441,-1.111689
1569,52.296669,85.0000,344.2405,1822.0000,338.1689,-0.200274,11.753522
1617,53.896567,85.0000,345.3124,1822.0000,337.5437,-0.256252,-14.345011
1664,55.463134,85.0000,346.4582,1822.0000,336.2934,-0.335286,0.034464
1712,57.063032,85.0000,343.9885,1822.0000,338.6491,-0.176123,16.937483
1759,58.629599,85.0000,332.1084,1822.0000,352.9375,0.687025,14.230088
1807,60.229497,85.0000,338.5567,1822.0000,345.4486,0.227332,-5.384873
1855,61.829395,85.0000,334.3646,1822.0000,348.3753,0.462141,-49.382718
1902,63.395962,85.0000,342.8511,1822.0000,339.9322,-0.096281,-12.347242
1950,64.995860,85.0000,340.7363,1822.0000,342.6481,0.063062,0.013914
1997,66.562427,85.0000,340.9768,1822.0000,342.6831,0.056284,-0.196100
2045,68.162325,85.0000,340.8077,1822.0000,342.7584,0.064344,0.070938
2092,69.728892,85.0000,340.8098,1822.0000,342.6539,0.060829,-0.011482
2140,71.328790,85.0000,340.9471,1822.0000,342.6910,0.057524,-0.113782
2188,72.928688,85.0000,340.8961,1822.0000,342.7981,0.062741,-0.018648
2235,74.495255,85.0000,340.9025,1822.0000,342.7029,0.059389,0.014777
2283,76.095153,85.0000,340.9337,1822.0000,342.6490,0.056581,-0.026756
2330,77.661720,85.0000,340.7444,1822.0000,342.5930,0.060978,0.027788
2378,79.261618,85.0000,341.0145,1822.0000,342.8253,0.059732,-0.131928
2425,80.828185,85.0000,340.9912,1822.0000,342.6827,0.055796,-0.066131
2473,82.428083,85.0000,340.7937,1822.0000,342.5671,0.058496,-0.022372
2520,83.994650,85.0000,340.8486,1822.0000,342.7037,0.061192,0.030890
2568,85.594548,85.0000,340.9808,1822.0000,342.7799,0.059344,0.046125
2616,87.194446,85.0000,340.9692,1822.0000,342.7570,0.058970,-0.008169
2663,88.761013,85.0000,340.9787,1822.0000,342.6185,0.054091,-0.051142
2711,90.360911,85.0000,340.8606,1822.0000,342.7667,0.062875,0.052938
2758,91.927478,85.0000,340.6975,1822.0000,342.6189,0.063380,-0.021409
2806,93.527376,85.0000,341.0867,1822.0000,342.7542,0.055002,-0.088484
2853,95.093943,85.0000,340.7958,1822.0000,342.6467,0.061054,0.021930
2901,96.693841,85.0000,340.9952,1822.0000,342.7834,0.058986,-0.061557
2949,98.293739,85.0000,340.7150,1822.0000,342.6471,0.063734,-0.026198
2996,99.860306,85.0000,340.9766,1822.0000,342.7707,0.059178,0.052130
3044,101.460204,85.0000,341.0988,1822.0000,342.8016,0.056167,-0.028766
3091,103.026771,85.0000,340.9541,1822.0000,342.7982,0.060829,0.017200
3139,104.626669,85.0000,340.7322,1822.0000,342.5893,0.061259,-0.019454
3186,106.193236,85.0000,341.0294,1822.0000,342.8104,0.058750,-0.088134
3234,107.793134,85.0000,340.9003,1822.0000,342.6416,0.057438,0.058567
3282,109.393032,85.0000,340.8047,1822.0000,342.6195,0.059860,0.000168
3329,110.959599,85.0000,340.8480,1822.0000,342.6815,0.060480,0.111774
3377,112.559497,85.0000,340.8987,1822.0000,342.6546,0.057920,0.008205
3424,114.126064,85.0000,340.9771,1822.0000,342.7528,0.058573,0.048901
3472,115.725962,85.0000,340.8665,1822.0000,342.7272,0.061377,-0.158263
3519,117.292529,85.0000,340.7937,1822.0000,342.7286,0.063824,0.011437
3567,118.892427,85.0000,340.8793,1822.0000,342.7703,0.062378,-0.004702
3614,120.458994,85.0000,340.8477,1822.0000,342.7097,0.061419,0.141283
3662,122.058892,85.0000,340.9728,1822.0000,342.7005,0.056988,-0.034580
3710,123.658790,85.0000,341.0421,1822.0000,342.7545,0.056485,-0.060258
3757,125.225357,85.0000,340.8691,1822.0000,342.8499,0.065340,0.069064
3805,126.825255,85.0000,341.0151,1822.0000,342.8269,0.059764,-0.061600
3852,128.391822,85.0000,340.8712,1822.0000,342.7224,0.061064,-0.045562
3900,129.991720,85.0000,340.8754,1822.0000,342.8299,0.064472,0.035467
3947,131.558287,85.0000,340.9591,1822.0000,342.8766,0.063251,-0.043817
3995,133.158185,85.0000,340.8788,1822.0000,342.8400,0.064690,0.042567
4043,134.758083,85.0000,340.9194,1822.0000,342.7431,0.060156,0.029299
4090,136.324650,85.0000,340.9821,1822.0000,342.8252,0.060796,0.020270
4138,137.924548,85.0000,340.8325,1822.0000,342.8265,0.065773,0.026956
4185,139.491115,85.0000,341.0455,1822.0000,342.7063,0.054780,0.010069
4233,141.091013,85.0000,341.0319,1822.0000,342.8288,0.059270,-0.009725
4280,142.657580,85.0000,340.8017,1822.0000,343.0128,0.072936,0.057283
4328,144.257478,85.0000,340.8374,1822.0000,342.6997,0.061429,0.010009
4376,145.857376,85.0000,340.7148,1822.0000,342.7228,0.066235,0.018715
4423,147.423943,85.0000,340.9136,1822.0000,342.8656,0.064389,0.227333
4471,149.023841,85.0000,340.9889,1822.0000,342.8315,0.060780,-0.005654
4518,150.590408,85.0000,341.0203,1822.0000,342.8333,0.059800,-0.007468
4566,152.190306,85.0000,340.9022,1822.0000,342.7122,0.059703,-0.003204
4613,153.756873,85.0000,341.0439,1822.0000,342.8684,0.060183,-0.128224
4661,155.356771,85.0000,340.9398,1822.0000,342.9327,0.065737,-0.055726
4709,156.956669,85.0000,340.3186,1822.0000,342.2090,0.062356,0.044925
