scorer,,,auto_detector,auto_detector,auto_detector,auto_detector
bodyparts,,,beam_left,beam_left,beam_right,beam_right
coords,,,x,y,x,y
labeled-data,multisine_06,img0000.png,85.000000,340.607258,1822.000000,342.758293
labeled-data,multisine_06,img0024.png,85.000000,340.587616,1822.000000,342.582158
labeled-data,multisine_06,img0049.png,85.000000,340.829701,1822.000000,342.624609
labeled-data,multisine_06,img0073.png,85.000000,340.768706,1822.000000,342.642912
labeled-data,multisine_06,img0098.png,85.000000,340.326846,1822.000000,342.539718
labeled-data,multisine_06,img0122.png,85.000000,340.532656,1822.000000,342.561137
labeled-data,multisine_06,img0147.png,85.000000,340.289526,1822.000000,342.609843
labeled-data,multisine_06,img0172.png,85.000000,340.463698,1822.000000,342.658697
labeled-data,multisine_06,img0196.png,85.000000,340.373264,1822.000000,342.669256
labeled-data,multisine_06,img0221.png,85.000000,340.395813,1822.000000,342.639162
labeled-data,multisine_06,img0245.png,85.000000,340.495305,1822.000000,342.596805
labeled-data,multisine_06,img0270.png,85.000000,340.071320,1822.000000,343.006758
labeled-data,multisine_06,img0295.png,85.000000,309.428356,1822.000000,377.215756
labeled-data,multisine_06,img0319.png,85.000000,345.206613,1822.000000,336.373582
labeled-data,multisine_06,img0344.png,85.000000,329.513383,1822.000000,355.499751
labeled-data,multisine_06,img0368.png,85.000000,344.770112,1822.000000,336.983489
labeled-data,multisine_06,img0393.png,85.000000,352.756093,1822.000000,329.371927
labeled-data,multisine_06,img0418.png,85.000000,332.571391,1822.000000,351.446765
labeled-data,multisine_06,img0442.png,85.000000,285.594918,1822.000000,391.580798
labeled-data,multisine_06,img0467.png,85.000000,357.077935,1822.000000,322.674835
labeled-data,multisine_06,img0491.png,85.000000,379.802074,1822.000000,300.449842
labeled-data,multisine_06,img0516.png,85.000000,379.900000,1822.000000,300.016239
labeled-data,multisine_06,img0541.png,85.000000,289.347278,1822.000000,398.220959
labeled-data,multisine_06,img0565.png,85.000000,362.914961,1822.000000,316.720054
labeled-data,multisine_06,img0590.png,85.000000,349.695107,1822.000000,333.566623
labeled-data,multisine_06,img0614.png,85.000000,338.650297,1822.000000,344.590936
labeled-data,multisine_06,img0639.png,85.000000,320.014729,1822.000000,366.463570
labeled-data,multisine_06,img0664.png,85.000000,340.184149,1822.000000,343.005460
labeled-data,multisine_06,img0688.png,85.000000,387.809819,1822.000000,292.838125
labeled-data,multisine_06,img0713.png,85.000000,371.566765,1822.000000,308.632425
labeled-data,multisine_06,img0737.png,85.000000,332.280184,1822.000000,352.151087
labeled-data,multisine_06,img0762.png,85.000000,373.212664,1822.000000,306.831600
labeled-data,multisine_06,img0787.png,85.000000,332.812562,1822.000000,351.789269
labeled-data,multisine_06,img0811.png,85.000000,338.846886,1822.000000,344.586878
labeled-data,multisine_06,img0836.png,85.000000,280.363865,1822.000000,397.094954
labeled-data,multisine_06,img0860.png,85.000000,396.379598,1822.000000,283.988950
labeled-data,multisine_06,img0885.png,85.000000,296.750078,1822.000000,381.344220
labeled-data,multisine_06,img0910.png,85.000000,383.807230,1822.000000,295.941890
labeled-data,multisine_06,img0934.png,85.000000,378.611383,1822.000000,301.527656
labeled-data,multisine_06,img0959.png,85.000000,320.392888,1822.000000,365.295875
labeled-data,multisine_06,img0983.png,85.000000,326.201150,1822.000000,358.144788
labeled-data,multisine_06,img1008.png,85.000000,305.038637,1822.000000,373.419749
labeled-data,multisine_06,img1033.png,85.000000,335.300962,1822.000000,347.849430
labeled-data,multisine_06,img1057.png,85.000000,340.928496,1822.000000,342.322397
labeled-data,multisine_06,img1082.png,85.000000,294.111819,1822.000000,382.931792
labeled-data,multisine_06,img1106.png,85.000000,370.141166,1822.000000,310.829802
labeled-data,multisine_06,img1131.png,85.000000,320.109325,1822.000000,365.015949
labeled-data,multisine_06,img1156.png,85.000000,328.429372,1822.000000,356.226792
labeled-data,multisine_06,img1180.png,85.000000,332.971051,1822.000000,350.536917
labeled-data,multisine_06,img1205.png,85.000000,372.306144,1822.000000,308.085316
labeled-data,multisine_06,img1229.png,85.000000,327.335454,1822.000000,358.287050
labeled-data,multisine_06,img1254.png,85.000000,388.195458,1822.000000,292.636105
labeled-data,multisine_06,img1278.png,85.000000,319.981289,1822.000000,360.669350
labeled-data,multisine_06,img1303.png,85.000000,316.334550,1822.000000,364.685737
labeled-data,multisine_06,img1328.png,85.000000,317.103100,1822.000000,364.163221
labeled-data,multisine_06,img1352.png,85.000000,373.160660,1822.000000,306.554008
labeled-data,multisine_06,img1377.png,85.000000,356.748840,1822.000000,325.033684
labeled-data,multisine_06,img1401.png,85.000000,393.276661,1822.000000,287.667587
labeled-data,multisine_06,img1426.png,85.000000,342.462358,1822.000000,338.523326
labeled-data,multisine_06,img1451.png,85.000000,349.961271,1822.000000,332.164480
labeled-data,multisine_06,img1475.png,85.000000,405.460159,1822.000000,275.553998
labeled-data,multisine_06,img1500.png,85.000000,346.836963,1822.000000,335.774524
labeled-data,multisine_06,img1524.png,85.000000,348.428941,1822.000000,333.601964
labeled-data,multisine_06,img1549.png,85.000000,338.093904,1822.000000,345.545838
labeled-data,multisine_06,img1574.png,85.000000,313.609661,1822.000000,372.591383
labeled-data,multisine_06,img1598.png,85.000000,334.421236,1822.000000,350.232195
labeled-data,multisine_06,img1623.png,85.000000,333.016096,1822.000000,351.489388
labeled-data,multisine_06,img1647.png,85.000000,328.442892,1822.000000,356.597154
labeled-data,multisine_06,img1672.png,85.000000,363.436691,1822.000000,316.599072
labeled-data,multisine_06,img1697.png,85.000000,342.248677,1822.000000,340.590553
labeled-data,multisine_06,img1721.png,85.000000,287.647488,1822.000000,390.265996
labeled-data,multisine_06,img1746.png,85.000000,354.052119,1822.000000,327.858957
labeled-data,multisine_06,img1770.png,85.000000,316.790317,1822.000000,368.654807
labeled-data,multisine_06,img1795.png,85.000000,381.103209,1822.000000,299.422436
labeled-data,multisine_06,img1820.png,85.000000,357.252357,1822.000000,324.470993
labeled-data,multisine_06,img1844.png,85.000000,370.928124,1822.000000,308.347848
labeled-data,multisine_06,img1869.png,85.000000,391.692077,1822.000000,288.930066
labeled-data,multisine_06,img1893.png,85.000000,319.361853,1822.000000,361.324997
labeled-data,multisine_06,img1918.png,85.000000,342.745327,1822.000000,340.573495
labeled-data,multisine_06,img1943.png,85.000000,342.803426,1822.000000,340.578047
labeled-data,multisine_06,img1967.png,85.000000,342.922312,1822.000000,340.559885
labeled-data,multisine_06,img1992.png,85.000000,343.016774,1822.000000,340.670524
labeled-data,multisine_06,img2016.png,85.000000,342.966164,1822.000000,340.673681
