frame,t_s,beam_left_x,beam_left_y,beam_right_x,beam_right_y,theta_deg,theta_dot_deg_s
0,0.000000,85.0000,343.7631,1822.0000,334.7311,-0.297924,-0.026174
24,0.799951,85.0000,343.7239,1822.0000,334.9123,-0.290653,-0.240782
49,1.633233,85.0000,345.6383,1822.0000,334.4598,-0.368725,-0.116894
74,2.466516,85.0000,343.6461,1822.0000,334.7516,-0.293389,0.063858
98,3.266467,85.0000,343.6665,1822.0000,334.7706,-0.293434,0.092172
123,4.099749,85.0000,343.7162,1822.0000,334.7486,-0.295800,0.007068
148,4.933031,85.0000,343.9358,1822.0000,334.8433,-0.299919,0.123454
173,5.766313,85.0000,343.7664,1822.0000,334.7943,-0.295946,-0.012209
197,6.566264,85.0000,343.9133,1822.0000,334.7821,-0.301195,-0.019564
222,7.399547,85.0000,343.9013,1822.0000,334.7904,-0.300527,-0.206697
247,8.232829,85.0000,343.9519,1822.0000,334.8095,-0.301563,0.050094
271,9.032780,85.0000,343.8800,1822.0000,334.8077,-0.299252,-0.164986
296,9.866062,85.0000,343.6827,1822.0000,334.7634,-0.294204,-0.038864
321,10.699344,85.0000,343.5187,1822.0000,335.1568,-0.275819,0.094171
346,11.532627,85.0000,342.3556,1822.0000,336.4165,-0.195905,0.031333
370,12.332578,85.0000,341.1333,1822.0000,337.7013,-0.113207,0.878025
395,13.165860,85.0000,339.7965,1822.0000,338.8307,-0.031859,0.150205
420,13.999142,85.0000,338.7804,1822.0000,340.4968,0.056615,0.045400
444,14.799093,85.0000,337.2317,1822.0000,342.0249,0.158106,0.023336
469,15.632375,85.0000,334.8787,1822.0000,344.2639,0.309575,3.210047
494,16.465658,85.0000,337.9275,1822.0000,344.0369,0.201519,0.047491
519,17.298940,85.0000,336.4339,1822.0000,345.8813,0.311624,-0.031673
543,18.098891,85.0000,334.0998,1822.0000,348.6454,0.479783,0.003593
568,18.932173,85.0000,333.2530,1822.0000,349.8479,0.547375,0.187057
593,19.765455,85.0000,331.5299,1822.0000,351.5073,0.658936,0.042843
617,20.565406,85.0000,330.4566,1822.0000,353.0854,0.746379,-0.005883
642,21.398689,85.0000,330.5688,1822.0000,353.0911,0.742869,0.014998
667,22.231971,85.0000,328.7013,1822.0000,355.1870,0.873576,0.024313
692,23.065253,85.0000,328.5046,1822.0000,355.3724,0.886176,0.054230
716,23.865204,85.0000,326.6009,1822.0000,357.7655,1.027870,-0.013713
741,24.698487,85.0000,326.7691,1822.0000,358.0198,1.030708,0.026225
766,25.531769,85.0000,325.2551,1822.0000,359.2797,1.122175,-0.005856
790,26.331720,85.0000,324.8613,1822.0000,359.9270,1.156502,0.390668
815,27.165002,85.0000,322.8471,1822.0000,362.6912,1.314049,0.718194
840,27.998284,85.0000,322.5138,1822.0000,363.0632,1.337299,-0.009146
865,28.831567,85.0000,320.8160,1822.0000,364.1964,1.430623,0.825538
889,29.631518,85.0000,319.9104,1822.0000,365.8348,1.514485,-0.098967
914,30.464800,85.0000,318.1370,1822.0000,366.5586,1.596796,0.033076
939,31.298082,85.0000,318.1437,1822.0000,366.8898,1.607491,0.928486
963,32.098033,85.0000,317.6962,1822.0000,368.3965,1.671899,-0.003409
988,32.931315,85.0000,314.9816,1822.0000,370.4844,1.830163,0.093717
1013,33.764598,85.0000,315.0561,1822.0000,371.0821,1.847403,0.033889
1038,34.597880,85.0000,312.2789,1822.0000,373.6612,2.023883,0.043707
1062,35.397831,85.0000,312.7889,1822.0000,373.9335,2.016049,0.128502
1087,36.231113,85.0000,311.3961,1822.0000,375.2996,2.106937,-0.077348
1112,37.064395,85.0000,311.0526,1822.0000,375.5686,2.127113,0.226255
1136,37.864346,85.0000,309.9891,1822.0000,376.8991,2.205967,0.112095
1161,38.697629,85.0000,309.0277,1822.0000,378.5031,2.290456,-0.093361
1186,39.530911,85.0000,308.7728,1822.0000,378.6646,2.304169,0.029680
1211,40.364193,85.0000,306.9194,1822.0000,380.8949,2.438645,-0.050155
1235,41.164144,85.0000,306.0170,1822.0000,381.6898,2.494524,0.868516
1260,41.997426,85.0000,303.0682,1822.0000,384.5124,2.684509,0.200529
1285,42.830709,85.0000,299.7215,1822.0000,387.3671,2.888582,-0.252788
1310,43.663991,85.0000,301.0084,1822.0000,387.5324,2.851681,0.051394
1334,44.463942,85.0000,298.7082,1822.0000,388.8672,2.971269,0.086419
1359,45.297224,85.0000,298.2361,1822.0000,388.8755,2.987077,-0.035410
1384,46.130507,85.0000,297.4127,1822.0000,390.4132,3.064740,0.024675
1408,46.930458,85.0000,295.9808,1822.0000,391.4506,3.145951,0.094453
1433,47.763740,85.0000,294.3349,1822.0000,393.7412,3.275391,0.033966
1458,48.597022,85.0000,293.4731,1822.0000,394.3797,3.324716,0.030033
1483,49.430304,85.0000,292.2721,1822.0000,396.3998,3.430597,0.770389
1507,50.230255,85.0000,291.4772,1822.0000,396.8008,3.469901,-0.034533
1532,51.063538,85.0000,290.9869,1822.0000,397.6885,3.515188,0.207786
1557,51.896820,85.0000,289.2342,1822.0000,399.7895,3.641807,0.024271
1581,52.696771,85.0000,287.9073,1822.0000,400.7518,3.717007,-0.103783
1606,53.530053,85.0000,286.1882,1822.0000,402.8578,3.842632,0.081461
1631,54.363335,85.0000,286.2968,1822.0000,403.1184,3.847624,-0.010863
1656,55.196618,85.0000,286.0088,1822.0000,403.9383,3.884001,0.008820
1680,55.996569,85.0000,283.9127,1822.0000,406.2780,4.029621,0.188632
1705,56.829851,85.0000,282.9600,1822.0000,407.1696,4.090149,-0.088242
1730,57.663133,85.0000,281.9074,1822.0000,408.4447,4.166536,-0.001450
1754,58.463084,85.0000,280.7393,1822.0000,409.7736,4.248455,-0.050213
1779,59.296366,85.0000,278.6571,1822.0000,412.0152,4.390268,-0.054991
1804,60.129649,85.0000,277.1076,1822.0000,413.8662,4.501763,1.184639
1829,60.962931,85.0000,276.8841,1822.0000,414.9167,4.543524,0.249506
1853,61.762882,85.0000,275.5261,1822.0000,416.1544,4.628597,-0.092151
1878,62.596164,85.0000,275.4975,1822.0000,416.2172,4.631593,0.056641
1903,63.429446,85.0000,265.2933,1822.0000,417.8530,5.019377,-0.031738
1927,64.229397,85.0000,348.1049,1822.0000,330.8556,-0.568960,-19.465694
1952,65.062680,85.0000,351.5266,1822.0000,327.5863,-0.789634,0.040323
1977,65.895962,85.0000,351.5036,1822.0000,327.5782,-0.789143,0.049006
2002,66.729244,85.0000,351.4882,1822.0000,327.6859,-0.785081,0.020631
2026,67.529195,85.0000,351.5252,1822.0000,327.6310,-0.788112,0.034218
2051,68.362478,85.0000,351.4981,1822.0000,327.3533,-0.796377,0.022434
2076,69.195760,85.0000,351.4055,1822.0000,327.5153,-0.787981,0.071607
2100,69.995711,85.0000,351.5204,1822.0000,327.7734,-0.783257,0.008509
2125,70.828993,85.0000,351.5535,1822.0000,327.6468,-0.788525,0.081603
2150,71.662275,85.0000,351.5551,1822.0000,327.6489,-0.788508,0.003957
2175,72.495558,85.0000,351.4366,1822.0000,327.3571,-0.794222,-0.035594
2199,73.295509,85.0000,351.5395,1822.0000,327.7195,-0.785665,0.022006
