frame,t_s,beam_left_x,beam_left_y,beam_right_x,beam_right_y,theta_deg,theta_dot_deg_s
0,0.000000,85.0000,362.0253,1822.0000,336.3924,-0.845452,-0.002730
23,0.766616,85.0000,362.5038,1822.0000,336.3027,-0.864191,-0.085769
46,1.533232,85.0000,362.3386,1822.0000,336.2752,-0.859648,0.093911
69,2.299849,85.0000,361.9766,1822.0000,336.2223,-0.849455,0.008313
92,3.066465,85.0000,361.9881,1822.0000,336.1873,-0.850990,-0.128004
115,3.833081,85.0000,361.9868,1822.0000,336.2264,-0.849658,-0.048160
138,4.599697,85.0000,362.3383,1822.0000,336.1435,-0.863985,-0.145965
161,5.366313,85.0000,362.7122,1822.0000,336.1769,-0.875211,-0.027638
184,6.132930,85.0000,363.2545,1822.0000,336.2404,-0.891001,0.036680
207,6.899546,85.0000,362.3490,1822.0000,336.2196,-0.861824,-0.007441
230,7.666162,85.0000,362.4683,1822.0000,336.1501,-0.868052,0.051304
253,8.432778,85.0000,362.6777,1822.0000,336.1583,-0.874685,-0.042896
276,9.199394,85.0000,362.2078,1822.0000,335.8987,-0.867752,-0.070314
299,9.966011,85.0000,362.6183,1822.0000,336.1739,-0.872214,0.054987
322,10.732627,85.0000,362.6051,1822.0000,336.2695,-0.868626,0.026778
345,11.499243,85.0000,361.0545,1822.0000,336.1503,-0.821423,-0.006839
368,12.265859,85.0000,362.4851,1822.0000,336.1525,-0.868528,0.082440
391,13.032476,85.0000,360.9988,1822.0000,335.8916,-0.828116,-0.066754
414,13.799092,85.0000,362.3651,1822.0000,335.9781,-0.870318,0.011403
437,14.565708,85.0000,362.4652,1822.0000,335.9090,-0.875901,-0.012630
460,15.332324,85.0000,362.6690,1822.0000,335.8417,-0.884840,-0.125941
483,16.098940,85.0000,362.6634,1822.0000,335.7394,-0.888028,-0.161125
506,16.865557,85.0000,362.8946,1822.0000,335.6959,-0.897089,-0.070123
529,17.632173,85.0000,362.7144,1822.0000,335.3454,-0.902705,0.265010
552,18.398789,85.0000,363.7481,1822.0000,334.2886,-0.971643,-0.099514
575,19.165405,85.0000,367.2719,1822.0000,332.1134,-1.159565,-0.001096
598,19.932021,85.0000,366.1737,1822.0000,331.7137,-1.136530,-0.070182
621,20.698638,85.0000,367.8382,1822.0000,331.4992,-1.198486,-0.055323
644,21.465254,85.0000,369.1187,1822.0000,329.7315,-1.298983,-0.672467
667,22.231870,85.0000,370.6273,1822.0000,328.1244,-1.401700,-0.007914
690,22.998486,85.0000,371.6718,1822.0000,326.5051,-1.489509,0.084275
713,23.765102,85.0000,372.8995,1822.0000,325.6159,-1.559286,-1.301449
736,24.531719,85.0000,374.0786,1822.0000,324.1211,-1.647419,0.058966
759,25.298335,85.0000,375.2961,1822.0000,322.6114,-1.737300,-0.045730
782,26.064951,85.0000,375.2099,1822.0000,322.3775,-1.742167,0.018859
805,26.831567,85.0000,375.0566,1822.0000,322.3721,-1.737289,-0.005274
828,27.598183,85.0000,378.5352,1822.0000,318.4826,-1.980073,-0.026518
851,28.364800,85.0000,378.8511,1822.0000,318.4240,-1.992412,0.021949
874,29.131416,85.0000,378.9318,1822.0000,318.4946,-1.992744,-0.036633
897,29.898032,85.0000,378.9553,1822.0000,318.1409,-2.005173,0.083934
920,30.664648,85.0000,379.4722,1822.0000,316.6026,-2.072877,-0.007175
943,31.431264,85.0000,379.8088,1822.0000,316.3967,-2.090752,-0.030461
966,32.197881,85.0000,380.7234,1822.0000,315.3927,-2.153949,0.045707
989,32.964497,85.0000,382.2162,1822.0000,313.7938,-2.255779,-0.470914
1012,33.731113,85.0000,382.9259,1822.0000,313.0644,-2.303175,-0.013117
1035,34.497729,85.0000,382.9395,1822.0000,313.1201,-2.301788,0.093738
1058,35.264345,85.0000,382.8999,1822.0000,313.0888,-2.301514,-0.019251
1081,36.030962,85.0000,388.4934,1822.0000,306.4158,-2.705357,-0.066227
1104,36.797578,85.0000,388.2430,1822.0000,306.1071,-2.707273,0.043506
1127,37.564194,85.0000,388.6156,1822.0000,306.1324,-2.718706,-0.077228
1150,38.330810,85.0000,388.3500,1822.0000,306.1966,-2.707851,-0.000414
1173,39.097427,85.0000,390.2075,1822.0000,302.7420,-2.882654,-2.267788
1196,39.864043,85.0000,390.5442,1822.0000,301.9351,-2.920282,-0.029381
1219,40.630659,85.0000,390.6762,1822.0000,302.0823,-2.919782,-0.011499
1242,41.397275,85.0000,391.4840,1822.0000,301.7514,-2.957246,0.134253
1265,42.163891,85.0000,393.6963,1822.0000,299.3851,-3.107849,-0.049478
1288,42.930508,85.0000,394.0744,1822.0000,299.3215,-3.122376,-0.340067
1311,43.697124,85.0000,395.0446,1822.0000,297.6313,-3.209865,0.076053
1334,44.463740,85.0000,395.4368,1822.0000,297.6045,-3.223639,0.010216
1357,45.230356,85.0000,396.8429,1822.0000,295.7308,-3.331473,0.183951
1380,45.996972,85.0000,397.1745,1822.0000,295.4185,-3.352642,-0.229543
1403,46.763589,85.0000,400.0320,1822.0000,291.8161,-3.564945,-0.324823
1426,47.530205,85.0000,402.8378,1822.0000,289.6411,-3.728573,-0.893852
1449,48.296821,85.0000,402.9988,1822.0000,288.9786,-3.755624,-3.051881
1472,49.063437,85.0000,401.1871,1822.0000,287.4671,-3.745764,-0.160681
1495,49.830053,85.0000,401.4938,1822.0000,287.2183,-3.764011,0.049328
1518,50.596670,85.0000,401.9853,1822.0000,286.8379,-3.792641,-0.042617
1541,51.363286,85.0000,402.3584,1822.0000,286.6770,-3.810182,0.003676
1564,52.129902,85.0000,412.6244,1822.0000,282.8162,-4.273841,-0.015235
1587,52.896518,85.0000,412.7264,1822.0000,283.0122,-4.270758,-0.039348
1610,53.663134,85.0000,405.0185,1822.0000,282.6381,-4.030116,-0.041696
1633,54.429751,85.0000,416.3148,1822.0000,279.0111,-4.519629,-0.027905
1656,55.196367,85.0000,416.0171,1822.0000,279.1852,-4.504167,0.026615
1679,55.962983,85.0000,417.1818,1822.0000,277.3820,-4.601447,-0.144538
1702,56.729599,85.0000,417.7670,1822.0000,277.2988,-4.623350,-0.113610
1725,57.496215,85.0000,419.1545,1822.0000,276.0152,-4.710874,-0.192852
1748,58.262832,85.0000,419.2599,1822.0000,275.9884,-4.715205,-0.112738
1771,59.029448,85.0000,421.8067,1822.0000,273.4121,-4.883011,0.193454
1794,59.796064,85.0000,421.6951,1822.0000,273.1692,-4.887309,-0.013697
1817,60.562680,85.0000,422.3141,1822.0000,272.6305,-4.925220,0.009832
1840,61.329296,85.0000,426.0951,1822.0000,268.9874,-5.168211,-0.028999
1863,62.095913,85.0000,427.8210,1822.0000,267.6411,-5.268711,-0.153668
1886,62.862529,85.0000,428.0678,1822.0000,266.8985,-5.301068,-0.018744
1909,63.629145,85.0000,428.4608,1822.0000,266.7216,-5.319705,-0.113794
1932,64.395761,85.0000,429.3358,1822.0000,265.7005,-5.381707,-0.250886
1955,65.162378,85.0000,429.1453,1822.0000,265.6769,-5.376249,-0.012521
1978,65.928994,85.0000,431.6361,1822.0000,263.2496,-5.537008,-0.008993
2001,66.695610,85.0000,431.6783,1822.0000,263.2253,-5.539184,-0.081882
2024,67.462226,85.0000,424.2000,1822.0000,258.6907,-5.442973,-0.105472
2047,68.228842,85.0000,436.5798,1822.0000,258.6946,-5.847242,-0.012848
2070,68.995459,85.0000,310.2412,1822.0000,391.5219,2.679126,-7.220524
2093,69.762075,85.0000,352.2359,1822.0000,344.6094,-0.251561,0.023415
2116,70.528691,85.0000,352.2553,1822.0000,344.6891,-0.249573,-0.002312
2139,71.295307,85.0000,352.3137,1822.0000,344.6148,-0.253950,0.001608
2162,72.061923,85.0000,352.4906,1822.0000,344.6486,-0.258670,-0.068264
2185,72.828540,85.0000,351.8215,1822.0000,344.5873,-0.238622,-0.113231
2208,73.595156,85.0000,352.1579,1822.0000,344.6153,-0.248796,0.060333
2231,74.361772,85.0000,339.4449,1822.0000,344.6327,0.171123,-0.018672
2254,75.128388,85.0000,340.4460,1822.0000,344.5577,0.135627,-0.120390
2278,75.928336,85.0000,351.2981,1822.0000,344.4725,-0.225146,-10.740437
