frame,t_s,beam_left_x,beam_left_y,beam_right_x,beam_right_y,theta_deg,theta_dot_deg_s
0,0.000000,85.0000,324.7595,1822.0000,323.9551,-0.026534,0.042600
22,0.733284,85.0000,325.8180,1822.0000,324.0860,-0.057129,-0.055232
44,1.466567,85.0000,325.7235,1822.0000,323.8921,-0.060410,-0.045113
67,2.233182,85.0000,325.5590,1822.0000,323.9177,-0.054139,0.118658
89,2.966466,85.0000,325.5413,1822.0000,323.9568,-0.052268,0.628870
111,3.699749,85.0000,324.7649,1822.0000,324.0420,-0.023846,1.071984
134,4.466364,85.0000,325.6913,1822.0000,323.9557,-0.057248,0.061953
156,5.199648,85.0000,325.6842,1822.0000,323.9877,-0.055962,-0.001700
178,5.932931,85.0000,324.7109,1822.0000,323.9363,-0.025550,0.306595
201,6.699546,85.0000,324.8268,1822.0000,323.9962,-0.027399,0.077485
223,7.432830,85.0000,325.8937,1822.0000,323.9365,-0.064557,0.015810
245,8.166113,85.0000,325.2068,1822.0000,323.8578,-0.044498,-0.347552
268,8.932728,85.0000,325.0438,1822.0000,324.0052,-0.034258,0.001050
290,9.666012,85.0000,324.9242,1822.0000,323.9138,-0.033326,0.106068
312,10.399295,85.0000,324.6418,1822.0000,323.9284,-0.023532,-0.026877
335,11.165910,85.0000,325.2535,1822.0000,323.9816,-0.041956,-0.533815
357,11.899194,85.0000,324.7990,1822.0000,324.0376,-0.025115,0.084291
380,12.665808,85.0000,399.0168,1822.0000,251.0679,-4.868415,-2.733169
402,13.399092,85.0000,374.5364,1822.0000,275.8024,-3.253286,-0.362953
424,14.132376,85.0000,390.8285,1822.0000,259.8579,-4.311969,0.006690
447,14.898991,85.0000,269.8199,1822.0000,377.6700,3.552926,5.146972
469,15.632274,85.0000,376.9035,1822.0000,271.9355,-3.458213,-85.115604
491,16.365558,85.0000,390.9222,1822.0000,259.6929,-4.320453,-0.005312
514,17.132173,85.0000,342.4324,1822.0000,307.0598,-1.166620,0.105237
536,17.865456,85.0000,260.1037,1822.0000,385.9880,4.145109,3.131574
558,18.598740,85.0000,281.6127,1822.0000,365.0810,2.751126,-28.437143
581,19.365355,85.0000,279.9054,1822.0000,368.2353,2.911096,0.007415
603,20.098638,85.0000,333.0412,1822.0000,317.4850,-0.513113,-0.103624
625,20.831922,85.0000,389.0440,1822.0000,261.0935,-4.212900,5.823086
648,21.598537,85.0000,394.8926,1822.0000,256.3572,-4.560002,-0.939379
670,22.331820,85.0000,394.0145,1822.0000,256.4397,-4.528516,0.812487
