scorer,,,auto_detector,auto_detector,auto_detector,auto_detector
bodyparts,,,beam_left,beam_left,beam_right,beam_right
coords,,,x,y,x,y
labeled-data,random_steps_04,img0000.png,85.000000,342.633904,1822.000000,335.849716
labeled-data,random_steps_04,img0022.png,85.000000,342.735006,1822.000000,335.711236
labeled-data,random_steps_04,img0044.png,85.000000,343.046782,1822.000000,335.812261
labeled-data,random_steps_04,img0066.png,85.000000,342.797418,1822.000000,335.761391
labeled-data,random_steps_04,img0088.png,85.000000,342.666314,1822.000000,335.863208
labeled-data,random_steps_04,img0110.png,85.000000,342.927341,1822.000000,335.841162
labeled-data,random_steps_04,img0132.png,85.000000,342.845758,1822.000000,335.871388
labeled-data,random_steps_04,img0154.png,85.000000,343.090961,1822.000000,335.866407
labeled-data,random_steps_04,img0176.png,85.000000,342.891392,1822.000000,335.921413
labeled-data,random_steps_04,img0198.png,85.000000,342.893203,1822.000000,335.932778
labeled-data,random_steps_04,img0220.png,85.000000,342.922096,1822.000000,335.848097
labeled-data,random_steps_04,img0242.png,85.000000,342.835979,1822.000000,335.943152
labeled-data,random_steps_04,img0264.png,85.000000,342.951717,1822.000000,335.901569
labeled-data,random_steps_04,img0286.png,85.000000,343.025438,1822.000000,335.916595
labeled-data,random_steps_04,img0308.png,85.000000,412.082689,1822.000000,267.438959
labeled-data,random_steps_04,img0330.png,85.000000,356.637492,1822.000000,319.465264
labeled-data,random_steps_04,img0352.png,85.000000,365.658683,1822.000000,310.378372
labeled-data,random_steps_04,img0374.png,85.000000,306.082921,1822.000000,371.130732
labeled-data,random_steps_04,img0396.png,85.000000,425.119843,1822.000000,253.847306
labeled-data,random_steps_04,img0418.png,85.000000,416.783111,1822.000000,263.084360
labeled-data,random_steps_04,img0440.png,85.000000,447.795175,1822.000000,234.274783
labeled-data,random_steps_04,img0462.png,85.000000,336.754507,1822.000000,339.595511
labeled-data,random_steps_04,img0484.png,85.000000,386.817529,1822.000000,291.773036
labeled-data,random_steps_04,img0506.png,85.000000,333.066184,1822.000000,346.252315
labeled-data,random_steps_04,img0528.png,85.000000,393.704658,1822.000000,284.997047
labeled-data,random_steps_04,img0550.png,85.000000,419.685040,1822.000000,259.993799
labeled-data,random_steps_04,img0572.png,85.000000,258.577890,1822.000000,422.139442
labeled-data,random_steps_04,img0594.png,85.000000,418.842974,1822.000000,260.929413
labeled-data,random_steps_04,img0616.png,85.000000,373.453077,1822.000000,304.068662
labeled-data,random_steps_04,img0638.png,85.000000,387.006544,1822.000000,292.079142
labeled-data,random_steps_04,img0660.png,85.000000,381.085547,1822.000000,296.320352
labeled-data,random_steps_04,img0682.png,85.000000,288.603849,1822.000000,385.203381
labeled-data,random_steps_04,img0704.png,85.000000,253.382047,1822.000000,428.901781
labeled-data,random_steps_04,img0726.png,85.000000,275.259223,1822.000000,406.904354
labeled-data,random_steps_04,img0748.png,85.000000,281.084602,1822.000000,401.458668
labeled-data,random_steps_04,img0770.png,85.000000,366.670542,1822.000000,308.890102
labeled-data,random_steps_04,img0792.png,85.000000,388.941436,1822.000000,288.445492
labeled-data,random_steps_04,img0814.png,85.000000,280.474079,1822.000000,400.583832
labeled-data,random_steps_04,img0836.png,85.000000,326.796613,1822.000000,352.582556
labeled-data,random_steps_04,img0858.png,85.000000,393.163147,1822.000000,285.939098
labeled-data,random_steps_04,img0880.png,85.000000,293.431846,1822.000000,381.081501
labeled-data,random_steps_04,img0902.png,85.000000,333.953805,1822.000000,345.622407
labeled-data,random_steps_04,img0924.png,85.000000,373.528255,1822.000000,304.573459
labeled-data,random_steps_04,img0946.png,85.000000,377.762167,1822.000000,300.446411
labeled-data,random_steps_04,img0968.png,85.000000,372.171640,1822.000000,304.322182
labeled-data,random_steps_04,img0990.png,85.000000,289.478445,1822.000000,389.448474
labeled-data,random_steps_04,img1012.png,85.000000,282.923703,1822.000000,399.593908
labeled-data,random_steps_04,img1034.png,85.000000,427.368241,1822.000000,251.574931
labeled-data,random_steps_04,img1056.png,85.000000,357.448040,1822.000000,319.178387
labeled-data,random_steps_04,img1078.png,85.000000,308.679616,1822.000000,367.314439
labeled-data,random_steps_04,img1100.png,85.000000,290.749360,1822.000000,381.283034
labeled-data,random_steps_04,img1122.png,85.000000,377.669201,1822.000000,299.951867
labeled-data,random_steps_04,img1144.png,85.000000,402.795347,1822.000000,276.864951
labeled-data,random_steps_04,img1166.png,85.000000,356.195880,1822.000000,321.344982
labeled-data,random_steps_04,img1188.png,85.000000,292.918041,1822.000000,381.632435
labeled-data,random_steps_04,img1210.png,85.000000,313.402368,1822.000000,362.166779
labeled-data,random_steps_04,img1232.png,85.000000,286.758690,1822.000000,386.036669
labeled-data,random_steps_04,img1254.png,85.000000,321.885419,1822.000000,355.772872
labeled-data,random_steps_04,img1276.png,85.000000,404.560127,1822.000000,275.161547
labeled-data,random_steps_04,img1298.png,85.000000,286.365016,1822.000000,388.771185
labeled-data,random_steps_04,img1320.png,85.000000,367.463100,1822.000000,308.512919
labeled-data,random_steps_04,img1342.png,85.000000,341.836963,1822.000000,337.715473
labeled-data,random_steps_04,img1364.png,85.000000,404.073172,1822.000000,274.474454
labeled-data,random_steps_04,img1386.png,85.000000,354.183402,1822.000000,324.838999
labeled-data,random_steps_04,img1408.png,85.000000,407.252049,1822.000000,272.180126
labeled-data,random_steps_04,img1430.png,85.000000,394.673396,1822.000000,283.084525
labeled-data,random_steps_04,img1452.png,85.000000,323.295946,1822.000000,354.638961
labeled-data,random_steps_04,img1474.png,85.000000,358.636710,1822.000000,320.249531
labeled-data,random_steps_04,img1496.png,85.000000,274.587539,1822.000000,408.534925
labeled-data,random_steps_04,img1518.png,85.000000,400.905238,1822.000000,278.413246
labeled-data,random_steps_04,img1540.png,85.000000,419.940522,1822.000000,260.229482
labeled-data,random_steps_04,img1562.png,85.000000,359.130084,1822.000000,315.527272
labeled-data,random_steps_04,img1584.png,85.000000,271.541599,1822.000000,407.617210
labeled-data,random_steps_04,img1606.png,85.000000,314.543797,1822.000000,366.228651
labeled-data,random_steps_04,img1628.png,85.000000,411.040066,1822.000000,267.841442
labeled-data,random_steps_04,img1650.png,85.000000,347.736689,1822.000000,329.218130
labeled-data,random_steps_04,img1672.png,85.000000,298.486099,1822.000000,377.852306
labeled-data,random_steps_04,img1694.png,85.000000,304.443031,1822.000000,372.278544
labeled-data,random_steps_04,img1716.png,85.000000,383.150800,1822.000000,295.829073
labeled-data,random_steps_04,img1738.png,85.000000,387.892829,1822.000000,291.247159
labeled-data,random_steps_04,img1760.png,85.000000,280.546244,1822.000000,401.085574
