frame,t_s,beam_left_x,beam_left_y,beam_right_x,beam_right_y,theta_deg,theta_dot_deg_s
0,0.000000,85.0000,355.3374,1822.0000,326.3278,-0.956806,0.075858
21,0.699951,85.0000,355.1075,1822.0000,326.4596,-0.944882,0.134309
42,1.399901,85.0000,355.4684,1822.0000,326.3759,-0.959539,-0.042253
64,2.133183,85.0000,355.3463,1822.0000,326.4402,-0.953395,-0.005960
85,2.833134,85.0000,353.7693,1822.0000,326.4375,-0.901478,0.033874
107,3.566415,85.0000,353.8792,1822.0000,326.3578,-0.907731,-0.129032
128,4.266366,85.0000,353.7337,1822.0000,326.2973,-0.904929,1.325332
150,4.999648,85.0000,353.7471,1822.0000,326.4264,-0.901115,0.245642
171,5.699598,85.0000,355.4520,1822.0000,326.3614,-0.959480,-0.005939
193,6.432880,85.0000,355.4922,1822.0000,326.4316,-0.958487,-0.076899
214,7.132831,85.0000,353.8803,1822.0000,326.3762,-0.907158,0.053883
236,7.866112,85.0000,355.5775,1822.0000,326.3925,-0.962589,0.014941
257,8.566063,85.0000,353.9383,1822.0000,326.4938,-0.905195,-0.030239
279,9.299345,85.0000,354.1880,1822.0000,326.4238,-0.915737,-0.024424
300,9.999295,85.0000,353.8430,1822.0000,326.4546,-0.903344,0.044711
322,10.732577,85.0000,366.6310,1822.0000,311.5645,-1.815786,-3.266519
343,11.432528,85.0000,386.7585,1822.0000,293.1298,-3.085403,-1.393999
365,12.165809,85.0000,414.1605,1822.0000,266.2419,-4.867424,-2.092580
386,12.865760,85.0000,432.1165,1822.0000,249.8758,-5.989386,0.009428
408,13.599042,85.0000,424.5114,1822.0000,256.8172,-5.514385,2.898592
429,14.298992,85.0000,371.4690,1822.0000,307.5752,-2.106618,4.513795
451,15.032274,85.0000,311.8253,1822.0000,374.4808,2.065824,5.967922
472,15.732225,85.0000,280.9691,1822.0000,407.1682,4.155437,-0.026413
494,16.465506,85.0000,326.1209,1822.0000,357.7136,1.041988,-8.041610
515,17.165457,85.0000,412.2820,1822.0000,268.3976,-4.735286,-5.426154
537,17.898739,85.0000,421.5598,1822.0000,258.9329,-5.348734,8.896165
558,18.598690,85.0000,317.5428,1822.0000,368.3174,1.674348,8.449800
580,19.331971,85.0000,285.4598,1822.0000,401.5561,3.823804,-5.633890
601,20.031922,85.0000,397.7788,1822.0000,282.3336,-3.802425,-7.877316
623,20.765204,85.0000,400.8736,1822.0000,279.2382,-4.005665,15.241542
644,21.465154,85.0000,284.6601,1822.0000,402.8257,3.891754,5.565080
666,22.198436,85.0000,366.8717,1822.0000,311.1185,-1.838416,-17.200005
687,22.898387,85.0000,418.2914,1822.0000,262.3315,-5.130654,12.538545
709,23.631668,85.0000,280.0100,1822.0000,408.1962,4.220630,3.473615
730,24.331619,85.0000,404.9704,1822.0000,275.0713,-4.276824,-11.814022
752,25.064901,85.0000,341.2095,1822.0000,337.8877,-0.109572,16.052424
773,25.764851,85.0000,320.3649,1822.0000,364.0098,1.439345,-26.936470
795,26.498133,85.0000,416.7015,1822.0000,263.5541,-5.038612,16.995156
816,27.198084,85.0000,281.2948,1822.0000,406.5057,4.123010,-3.226365
838,27.931365,85.0000,434.2560,1822.0000,247.0873,-6.150121,2.688776
859,28.631316,85.0000,278.7070,1822.0000,409.4050,4.303028,-0.847278
881,29.364598,85.0000,434.5352,1822.0000,246.6147,-6.174631,3.261124
902,30.064548,85.0000,281.6339,1822.0000,405.6039,4.082291,-5.681544
924,30.797830,85.0000,414.2892,1822.0000,265.9430,-4.881424,21.713631
945,31.497781,85.0000,323.0599,1822.0000,360.6385,1.239354,-28.425701
967,32.231062,85.0000,328.7444,1822.0000,354.6920,0.855829,19.482921
988,32.931013,85.0000,413.1443,1822.0000,267.6350,-4.788514,-15.516363
1010,33.664295,85.0000,276.4058,1822.0000,412.4104,4.477044,4.160086
1031,34.364245,85.0000,414.9647,1822.0000,264.7798,-4.941630,23.112797
1053,35.097527,85.0000,394.7719,1822.0000,284.8116,-3.622260,-32.961508
1074,35.797478,85.0000,280.6215,1822.0000,407.8031,4.187672,11.551465
1096,36.530759,85.0000,388.5738,1822.0000,289.4780,-3.265184,39.892803
1117,37.230710,85.0000,421.5100,1822.0000,260.3828,-5.299692,-16.557198
1139,37.963992,85.0000,282.3431,1822.0000,393.1826,3.651143,-9.871101
1160,38.663942,85.0000,288.8665,1822.0000,388.7381,3.290687,26.028805
1182,39.397224,85.0000,410.2542,1822.0000,268.8778,-4.653113,26.821272
1203,40.097175,85.0000,432.3847,1822.0000,250.1317,-5.989784,-9.015286
1225,40.830456,85.0000,354.0421,1822.0000,323.0090,-1.023531,-55.624692
1246,41.530407,85.0000,278.7667,1822.0000,409.4632,4.302981,-1.323803
1268,42.263689,85.0000,284.6334,1822.0000,402.3429,3.876779,11.905612
1289,42.963639,85.0000,337.0078,1822.0000,343.1312,0.201982,60.490439
1311,43.696921,85.0000,407.1984,1822.0000,271.3873,-4.470699,34.221108
1332,44.396872,85.0000,438.8686,1822.0000,242.5280,-6.449014,4.771510
1354,45.130153,85.0000,443.6637,1822.0000,239.3023,-6.710113,-1.115091
1375,45.830104,85.0000,437.4972,1822.0000,244.2628,-6.347829,-27.733686
1397,46.563386,85.0000,432.8767,1822.0000,249.2179,-6.035648,-42.485852
1418,47.263336,85.0000,407.4889,1822.0000,272.0682,-4.457897,-69.758387
1440,47.996618,85.0000,417.5756,1822.0000,263.1444,-5.080627,-64.907304
1461,48.696569,85.0000,408.4916,1822.0000,270.8293,-4.531388,-72.818874
1483,49.429850,85.0000,435.3056,1822.0000,245.6194,-6.232197,-45.774836
1504,50.129801,85.0000,444.1182,1822.0000,239.4363,-6.720537,-36.030498
1526,50.863083,85.0000,451.8813,1822.0000,232.0945,-7.211448,-1.429094
1547,51.563034,85.0000,446.1326,1822.0000,235.5892,-6.911162,10.684782
1569,52.296315,85.0000,400.7880,1822.0000,277.3585,-4.064551,50.869550
1590,52.996266,85.0000,327.7133,1822.0000,350.4048,0.748449,82.704742
1612,53.729548,85.0000,272.5071,1822.0000,417.0382,4.756470,16.792663
1633,54.429498,85.0000,274.8799,1822.0000,413.2536,4.554703,-9.667786
1655,55.162780,85.0000,361.8580,1822.0000,314.3772,-1.565787,-73.317773
1676,55.862731,85.0000,454.5948,1822.0000,229.6731,-7.378095,-30.481445
1698,56.596012,85.0000,402.1672,1822.0000,275.0473,-4.185652,58.238253
1719,57.295963,85.0000,275.6901,1822.0000,412.3108,4.497240,37.989984
1741,58.029245,85.0000,290.2104,1822.0000,385.2921,3.133187,-33.505406
1762,58.729195,85.0000,442.8765,1822.0000,238.4581,-6.711967,-57.427496
1784,59.462477,85.0000,376.3819,1822.0000,299.5621,-2.532288,83.601225
1805,60.162428,85.0000,262.9912,1822.0000,429.1850,5.465344,7.150122
1827,60.895709,85.0000,411.7968,1822.0000,268.1191,-4.728513,-88.243784
1848,61.595660,85.0000,424.0076,1822.0000,254.5812,-5.570988,47.444453
1870,62.328942,85.0000,262.4756,1822.0000,428.5507,5.461465,-6.622167
1891,63.028892,85.0000,429.4407,1822.0000,250.5723,-5.879336,-75.670571
1913,63.762174,85.0000,314.8277,1822.0000,367.5469,1.738433,89.093309
1934,64.462125,85.0000,310.1532,1822.0000,372.8561,2.067386,-61.236758
1956,65.195406,85.0000,340.0878,1822.0000,341.7392,0.054473,-7.704046
1977,65.895357,85.0000,342.1910,1822.0000,339.2121,-0.098259,-0.019755
1999,66.628639,85.0000,342.3031,1822.0000,339.3449,-0.097578,0.055687
2020,67.328589,85.0000,342.6086,1822.0000,339.3537,-0.107363,-0.031152
2042,68.061871,85.0000,342.4461,1822.0000,339.3547,-0.101971,-0.022008
2063,68.761822,85.0000,342.3155,1822.0000,339.3287,-0.098523,0.001557
2085,69.495103,85.0000,342.1346,1822.0000,339.3770,-0.090962,-0.043505
2106,70.195054,85.0000,342.4986,1822.0000,339.2605,-0.106808,-0.041808
2128,70.928336,85.0000,342.5195,1822.0000,339.5234,-0.098828,0.056721
